sourceTaxonId	sourceTaxonIds	sourceTaxonName	sourceTaxonRank	sourceTaxonPathNames	sourceTaxonPathIds	sourceTaxonPathRankNames	sourceId	sourceOccurrenceId	sourceCatalogNumber	sourceBasisOfRecordId	sourceBasisOfRecordName	sourceLifeStageId	sourceLifeStageName	sourceBodyPartId	sourceBodyPartName	sourcePhysiologicalStateId	sourcePhysiologicalStateName	interactionTypeName	interactionTypeId	targetTaxonId	targetTaxonIds	targetTaxonName	targetTaxonRank	targetTaxonPathNames	targetTaxonPathIds	targetTaxonPathRankNames	targetId	targetOccurrenceId	targetCatalogNumber	targetBasisOfRecordId	targetBasisOfRecordName	targetLifeStageId	targetLifeStageName	targetBodyPartId	targetBodyPartName	targetPhysiologicalStateId	targetPhysiologicalStateName	decimalLatitude	decimalLongitude	localityId	localityName	eventDateUnixEpoch	referenceCitation	referenceDoi	referenceUrl	sourceCitation	sourceNamespace	sourceArchiveURI	sourceDOI	sourceLastSeenAtUnixEpoch
EOL:4472733	EOL:4472733	Deinosuchus	Genus	Deinosuchus	EOL:4472733	genus												eats	http://purl.obolibrary.org/obo/RO_0002470	EOL:42417811	EOL:42417811 | IRMNG:116963 | OTT:609297 | GBIF:4823263 | NCBI:643742 | OTT:609297	Hadrosauridae	Family	Eucarya | Opisthokonta | Metazoa | Eumetazoa | Triploblastica | Nephrozoa | Deuterostomia | Chordata | Vertebrata | Gnathostomata | Osteichthyes | Sarcopterygii | Dipnotetrapodomorpha | Tetrapodomorpha | Tetrapoda | Reptiliomorpha | Anthracosauria | Batrachosauria | Cotylosauria | Amniota | Sauropsida | Reptilia | Eureptilia | Romeriida | Diapsida | Archosauromorpha | Archosauriformes | Crurotarsi | Archosauria | Avemetatarsalia | Ornithodira | Dinosauromorpha | Dinosauriformes | Dinosauria | Ornithischia | Neornithischia | Cerapoda | Ornithopoda | Iguanodontia | Ankylopollexia | Styracosterna | Hadrosauriformes | Hadrosauroidea | Hadrosauridae	EOL:5610326 | EOL:2910700 | EOL:42196910 | EOL:10380067 | EOL:42196912 | EOL:42312307 | EOL:42312308 | EOL:42312309 | EOL:2774383 | EOL:12094272 | EOL:2775704 | EOL:8909 | EOL:40072735 | EOL:10577729 | EOL:4712200 | EOL:42312317 | EOL:4358712 | EOL:42312319 | EOL:42312320 | EOL:3014446 | EOL:4657519 | EOL:42329827 | EOL:42329828 | EOL:42329829 | EOL:42329830 | EOL:3014671 | EOL:42329832 | EOL:42329833 | EOL:42329834 | EOL:42329835 | EOL:42329836 | EOL:42329837 | EOL:42329838 | EOL:3014672 | EOL:4530715 | EOL:42417803 | EOL:60136 | EOL:4532043 | EOL:42417806 | EOL:42417807 | EOL:42417808 | EOL:42417809 | EOL:42417810 | EOL:42417811	unranked clade | unranked clade | subkingdom | unranked clade | unranked clade | unranked clade | unranked clade | unranked clade | unranked clade | unranked clade | unranked clade | superclass | subclass | subclass | unranked clade | unranked clade | unranked clade | unranked clade | unranked clade | unranked clade | unranked clade | class | unranked clade | unranked clade | unranked clade | infraclass | unranked clade | unranked clade | unranked clade | informal | unranked clade | unranked clade | unranked clade | unranked clade | unranked clade | unranked clade | unranked clade | unranked clade | unranked clade | unranked clade | unranked clade | unranked clade | superfamily | family												27.33333	-102.0	GEONAMES:4013674			Rivera-Sylva H.E., E. Frey and J.R. Guzmán-Guitiérrez. 2009. Evidence of predation on the vertebra of a hadrosaurid dinosaur from the Upper Cretaceous (Campanian) of Coahuila, Mexico.- Carnets de Géologie / Notebooks on Geology, Brest, Letter 2009/02 (CG2009_L02)			Katja Schulz. 2015. Information about dinosaur diets manually extracted from literature.	KatjaSchulz/dinosaur-biotic-interactions	https://github.com/KatjaSchulz/dinosaur-biotic-interactions/archive/e744bef6ff47d57b86b81fe767ad983ef5b7f460.zip		2017-11-07T20:14:36.000Z
EOL:4433651	EOL:4433651	Daspletosaurus	Genus	Daspletosaurus	EOL:4433651	genus												eats	http://purl.obolibrary.org/obo/RO_0002470	EOL:42417811	EOL:42417811 | IRMNG:116963 | OTT:609297 | GBIF:4823263 | NCBI:643742 | OTT:609297	Hadrosauridae	Family	Eucarya | Opisthokonta | Metazoa | Eumetazoa | Triploblastica | Nephrozoa | Deuterostomia | Chordata | Vertebrata | Gnathostomata | Osteichthyes | Sarcopterygii | Dipnotetrapodomorpha | Tetrapodomorpha | Tetrapoda | Reptiliomorpha | Anthracosauria | Batrachosauria | Cotylosauria | Amniota | Sauropsida | Reptilia | Eureptilia | Romeriida | Diapsida | Archosauromorpha | Archosauriformes | Crurotarsi | Archosauria | Avemetatarsalia | Ornithodira | Dinosauromorpha | Dinosauriformes | Dinosauria | Ornithischia | Neornithischia | Cerapoda | Ornithopoda | Iguanodontia | Ankylopollexia | Styracosterna | Hadrosauriformes | Hadrosauroidea | Hadrosauridae	EOL:5610326 | EOL:2910700 | EOL:42196910 | EOL:10380067 | EOL:42196912 | EOL:42312307 | EOL:42312308 | EOL:42312309 | EOL:2774383 | EOL:12094272 | EOL:2775704 | EOL:8909 | EOL:40072735 | EOL:10577729 | EOL:4712200 | EOL:42312317 | EOL:4358712 | EOL:42312319 | EOL:42312320 | EOL:3014446 | EOL:4657519 | EOL:42329827 | EOL:42329828 | EOL:42329829 | EOL:42329830 | EOL:3014671 | EOL:42329832 | EOL:42329833 | EOL:42329834 | EOL:42329835 | EOL:42329836 | EOL:42329837 | EOL:42329838 | EOL:3014672 | EOL:4530715 | EOL:42417803 | EOL:60136 | EOL:4532043 | EOL:42417806 | EOL:42417807 | EOL:42417808 | EOL:42417809 | EOL:42417810 | EOL:42417811	unranked clade | unranked clade | subkingdom | unranked clade | unranked clade | unranked clade | unranked clade | unranked clade | unranked clade | unranked clade | unranked clade | superclass | subclass | subclass | unranked clade | unranked clade | unranked clade | unranked clade | unranked clade | unranked clade | unranked clade | class | unranked clade | unranked clade | unranked clade | infraclass | unranked clade | unranked clade | unranked clade | informal | unranked clade | unranked clade | unranked clade | unranked clade | unranked clade | unranked clade | unranked clade | unranked clade | unranked clade | unranked clade | unranked clade | unranked clade | superfamily | family												47.83729	-112.2408	GEONAMES:5681965			doi:10.1666/0022-3360(2001)075<0401:GCFACT>2.0.CO;2	doi:10.1666/0022-3360(2001)075<0401:GCFACT>2.0.CO;2		Katja Schulz. 2015. Information about dinosaur diets manually extracted from literature.	KatjaSchulz/dinosaur-biotic-interactions	https://github.com/KatjaSchulz/dinosaur-biotic-interactions/archive/e744bef6ff47d57b86b81fe767ad983ef5b7f460.zip		2017-11-07T20:14:36.000Z
EOL:24210058	EOL:24210058 | GBIF:4975216 | OTT:3617018	Repenomamus robustus	Species	Eucarya | Opisthokonta | Metazoa | Eumetazoa | Triploblastica | Nephrozoa | Deuterostomia | Chordata | Vertebrata | Gnathostomata | Osteichthyes | Sarcopterygii | Dipnotetrapodomorpha | Tetrapodomorpha | Tetrapoda | Reptiliomorpha | Anthracosauria | Batrachosauria | Cotylosauria | Amniota | Synapsida | Therapsida | Cynodontia | Epicynodontia | Eucynodontia | Probainognathia | Mammaliamorpha | Mammaliaformes | Mammalia | Gobiconodontidae | Repenomamus | Repenomamus robustus	EOL:5610326 | EOL:2910700 | EOL:42196910 | EOL:10380067 | EOL:42196912 | EOL:42312307 | EOL:42312308 | EOL:42312309 | EOL:2774383 | EOL:12094272 | EOL:2775704 | EOL:8909 | EOL:40072735 | EOL:10577729 | EOL:4712200 | EOL:42312317 | EOL:4358712 | EOL:42312319 | EOL:42312320 | EOL:3014446 | EOL:3014447 | EOL:4522847 | EOL:4528578 | EOL:42312325 | EOL:42312326 | EOL:42312327 | EOL:42312328 | EOL:42312329 | EOL:42399409 | EOL:4528007 | EOL:4529256 | EOL:24210058	unranked clade | unranked clade | subkingdom | unranked clade | unranked clade | unranked clade | unranked clade | unranked clade | unranked clade | unranked clade | unranked clade | superclass | subclass | subclass | unranked clade | unranked clade | unranked clade | unranked clade | unranked clade | unranked clade | unranked clade | unranked clade | infraorder | unranked clade | infraorder | unranked clade | unranked clade | unranked clade | class | family | genus | species												eats	http://purl.obolibrary.org/obo/RO_0002470	EOL:4532049	EOL:4532049	Psittacosaurus	Genus	Psittacosaurus	EOL:4532049	genus												41.25	122.66667	GEONAMES:2036115			doi:10.1038/nature03102	doi:10.1038/nature03102		Katja Schulz. 2015. Information about dinosaur diets manually extracted from literature.	KatjaSchulz/dinosaur-biotic-interactions	https://github.com/KatjaSchulz/dinosaur-biotic-interactions/archive/e744bef6ff47d57b86b81fe767ad983ef5b7f460.zip		2017-11-07T20:14:36.000Z
EOL:4433892	EOL:4433892	Sinocalliopteryx gigas	Species	Sinocalliopteryx gigas	EOL:4433892	species												eats	http://purl.obolibrary.org/obo/RO_0002470	EOL:4433896	EOL:4433896	Confuciusornis sanctus	Species	Confuciusornis sanctus	EOL:4433896	species												41.25	122.66667	GEONAMES:2036115			doi:10.1371/journal.pone.0044012	doi:10.1371/journal.pone.0044012		Katja Schulz. 2015. Information about dinosaur diets manually extracted from literature.	KatjaSchulz/dinosaur-biotic-interactions	https://github.com/KatjaSchulz/dinosaur-biotic-interactions/archive/e744bef6ff47d57b86b81fe767ad983ef5b7f460.zip		2017-11-07T20:14:36.000Z
EOL:4433892	EOL:4433892	Sinocalliopteryx gigas	Species	Sinocalliopteryx gigas	EOL:4433892	species												eats	http://purl.obolibrary.org/obo/RO_0002470	EOL:4433563	EOL:4433563	Sinornithosaurus	Genus	Sinornithosaurus	EOL:4433563	genus												41.25	122.66667	GEONAMES:2036115			doi:10.1371/journal.pone.0044012	doi:10.1371/journal.pone.0044012		Katja Schulz. 2015. Information about dinosaur diets manually extracted from literature.	KatjaSchulz/dinosaur-biotic-interactions	https://github.com/KatjaSchulz/dinosaur-biotic-interactions/archive/e744bef6ff47d57b86b81fe767ad983ef5b7f460.zip		2017-11-07T20:14:36.000Z
EOL:4433551	EOL:4433551	Microraptor gui	Species	Microraptor gui	EOL:4433551	species												eats	http://purl.obolibrary.org/obo/RO_0002470	EOL:42331729	EOL:42331729	Enantiornithes	Subclass	Eucarya | Opisthokonta | Metazoa | Eumetazoa | Triploblastica | Nephrozoa | Deuterostomia | Chordata | Vertebrata | Gnathostomata | Osteichthyes | Sarcopterygii | Dipnotetrapodomorpha | Tetrapodomorpha | Tetrapoda | Reptiliomorpha | Anthracosauria | Batrachosauria | Cotylosauria | Amniota | Sauropsida | Reptilia | Eureptilia | Romeriida | Diapsida | Archosauromorpha | Archosauriformes | Crurotarsi | Archosauria | Avemetatarsalia | Ornithodira | Dinosauromorpha | Dinosauriformes | Dinosauria | Saurischia | Theropoda | Neotheropoda | Averostra | Tetanurae | Avetheropoda | Coelurosauria | Maniraptora | Paraves | Aves | Pygostylia | Ornithothoraces | Enantiornithes	EOL:5610326 | EOL:2910700 | EOL:42196910 | EOL:10380067 | EOL:42196912 | EOL:42312307 | EOL:42312308 | EOL:42312309 | EOL:2774383 | EOL:12094272 | EOL:2775704 | EOL:8909 | EOL:40072735 | EOL:10577729 | EOL:4712200 | EOL:42312317 | EOL:4358712 | EOL:42312319 | EOL:42312320 | EOL:3014446 | EOL:4657519 | EOL:42329827 | EOL:42329828 | EOL:42329829 | EOL:42329830 | EOL:3014671 | EOL:42329832 | EOL:42329833 | EOL:42329834 | EOL:42329835 | EOL:42329836 | EOL:42329837 | EOL:42329838 | EOL:3014672 | EOL:4531095 | EOL:42329841 | EOL:42329842 | EOL:42329843 | EOL:4658726 | EOL:42329845 | EOL:4434257 | EOL:42329847 | EOL:42329848 | EOL:42329849 | EOL:42329850 | EOL:42329851 | EOL:42331729	unranked clade | unranked clade | subkingdom | unranked clade | unranked clade | unranked clade | unranked clade | unranked clade | unranked clade | unranked clade | unranked clade | superclass | subclass | subclass | unranked clade | unranked clade | unranked clade | unranked clade | unranked clade | unranked clade | unranked clade | class | unranked clade | unranked clade | unranked clade | infraclass | unranked clade | unranked clade | unranked clade | informal | unranked clade | unranked clade | unranked clade | unranked clade | unranked clade | unranked clade | unranked clade | unranked clade | unranked clade | unranked clade | suborder | unranked clade | unranked clade | class | unranked clade | unranked clade | subclass												35.0	105.0	GEONAMES:1814991			doi:10.1073/pnas.1117727108	doi:10.1073/pnas.1117727108		Katja Schulz. 2015. Information about dinosaur diets manually extracted from literature.	KatjaSchulz/dinosaur-biotic-interactions	https://github.com/KatjaSchulz/dinosaur-biotic-interactions/archive/e744bef6ff47d57b86b81fe767ad983ef5b7f460.zip		2017-11-07T20:14:36.000Z
EOL:4531246	EOL:4531246	Baryonyx walkeri	Species	Baryonyx walkeri	EOL:4531246	species												eats	http://purl.obolibrary.org/obo/RO_0002470	EOL:4530741	EOL:4530741	Iguanodon	Genus	Iguanodon	EOL:4530741	genus												51.25	-0.33333	GEONAMES:2636512			Charig, A. J. and A. C. Milner. 1997. Baryonyx walkeri, a fish-eating dinosaur from the Wealden of Surrey. Bulletin of the Natural History Museum 53:11-70.	http://dx.doi.org/10.1017/cbo9780511608377.012		Katja Schulz. 2015. Information about dinosaur diets manually extracted from literature.	KatjaSchulz/dinosaur-biotic-interactions	https://github.com/KatjaSchulz/dinosaur-biotic-interactions/archive/e744bef6ff47d57b86b81fe767ad983ef5b7f460.zip		2017-11-07T20:14:36.000Z
EOL:4531246	EOL:4531246	Baryonyx walkeri	Species	Baryonyx walkeri	EOL:4531246	species												eats	http://purl.obolibrary.org/obo/RO_0002470	EOL:4653801	EOL:4653801 | GBIF:3268208 | IRMNG:1335233	Lepidotes	Genus	Lepidotes	EOL:4653801	genus												51.25	-0.33333	GEONAMES:2636512			Charig, A. J. and A. C. Milner. 1997. Baryonyx walkeri, a fish-eating dinosaur from the Wealden of Surrey. Bulletin of the Natural History Museum 53:11-70.	http://dx.doi.org/10.1017/cbo9780511608377.012		Katja Schulz. 2015. Information about dinosaur diets manually extracted from literature.	KatjaSchulz/dinosaur-biotic-interactions	https://github.com/KatjaSchulz/dinosaur-biotic-interactions/archive/e744bef6ff47d57b86b81fe767ad983ef5b7f460.zip		2017-11-07T20:14:36.000Z
EOL:4433582	EOL:4433582 | GBIF:4966355 | OTT:4946068	Deinonychus antirrhopus	Species	Eucarya | Opisthokonta | Metazoa | Eumetazoa | Triploblastica | Nephrozoa | Deuterostomia | Chordata | Vertebrata | Gnathostomata | Osteichthyes | Sarcopterygii | Dipnotetrapodomorpha | Tetrapodomorpha | Tetrapoda | Reptiliomorpha | Anthracosauria | Batrachosauria | Cotylosauria | Amniota | Sauropsida | Reptilia | Eureptilia | Romeriida | Diapsida | Archosauromorpha | Archosauriformes | Crurotarsi | Archosauria | Avemetatarsalia | Ornithodira | Dinosauromorpha | Dinosauriformes | Dinosauria | Saurischia | Theropoda | Neotheropoda | Averostra | Tetanurae | Avetheropoda | Coelurosauria | Maniraptoriformes | Dromaeosauridae | Eudromaeosauria | Deinonychus | Deinonychus antirrhopus	EOL:5610326 | EOL:2910700 | EOL:42196910 | EOL:10380067 | EOL:42196912 | EOL:42312307 | EOL:42312308 | EOL:42312309 | EOL:2774383 | EOL:12094272 | EOL:2775704 | EOL:8909 | EOL:40072735 | EOL:10577729 | EOL:4712200 | EOL:42312317 | EOL:4358712 | EOL:42312319 | EOL:42312320 | EOL:3014446 | EOL:4657519 | EOL:42329827 | EOL:42329828 | EOL:42329829 | EOL:42329830 | EOL:3014671 | EOL:42329832 | EOL:42329833 | EOL:42329834 | EOL:42329835 | EOL:42329836 | EOL:42329837 | EOL:42329838 | EOL:3014672 | EOL:4531095 | EOL:42329841 | EOL:42329842 | EOL:42329843 | EOL:4658726 | EOL:42329845 | EOL:4434257 | EOL:42332710 | EOL:2866144 | EOL:42332712 | EOL:4433581 | EOL:4433582	unranked clade | unranked clade | subkingdom | unranked clade | unranked clade | unranked clade | unranked clade | unranked clade | unranked clade | unranked clade | unranked clade | superclass | subclass | subclass | unranked clade | unranked clade | unranked clade | unranked clade | unranked clade | unranked clade | unranked clade | class | unranked clade | unranked clade | unranked clade | infraclass | unranked clade | unranked clade | unranked clade | informal | unranked clade | unranked clade | unranked clade | unranked clade | unranked clade | unranked clade | unranked clade | unranked clade | unranked clade | unranked clade | suborder | unranked clade | family | unranked clade | genus | species												eats	http://purl.obolibrary.org/obo/RO_0002470	EOL:4531936	EOL:4531936 | GBIF:4965850	Tenontosaurus tilletti	Species	Eucarya | Opisthokonta | Metazoa | Eumetazoa | Triploblastica | Nephrozoa | Deuterostomia | Chordata | Vertebrata | Gnathostomata | Osteichthyes | Sarcopterygii | Dipnotetrapodomorpha | Tetrapodomorpha | Tetrapoda | Reptiliomorpha | Anthracosauria | Batrachosauria | Cotylosauria | Amniota | Sauropsida | Reptilia | Eureptilia | Romeriida | Diapsida | Archosauromorpha | Archosauriformes | Crurotarsi | Archosauria | Avemetatarsalia | Ornithodira | Dinosauromorpha | Dinosauriformes | Dinosauria | Ornithischia | Neornithischia | Cerapoda | Ornithopoda | Iguanodontia | Tenontosaurus | Tenontosaurus tilletti	EOL:5610326 | EOL:2910700 | EOL:42196910 | EOL:10380067 | EOL:42196912 | EOL:42312307 | EOL:42312308 | EOL:42312309 | EOL:2774383 | EOL:12094272 | EOL:2775704 | EOL:8909 | EOL:40072735 | EOL:10577729 | EOL:4712200 | EOL:42312317 | EOL:4358712 | EOL:42312319 | EOL:42312320 | EOL:3014446 | EOL:4657519 | EOL:42329827 | EOL:42329828 | EOL:42329829 | EOL:42329830 | EOL:3014671 | EOL:42329832 | EOL:42329833 | EOL:42329834 | EOL:42329835 | EOL:42329836 | EOL:42329837 | EOL:42329838 | EOL:3014672 | EOL:4530715 | EOL:42417803 | EOL:60136 | EOL:4532043 | EOL:42417806 | EOL:4531935 | EOL:4531936	unranked clade | unranked clade | subkingdom | unranked clade | unranked clade | unranked clade | unranked clade | unranked clade | unranked clade | unranked clade | unranked clade | superclass | subclass | subclass | unranked clade | unranked clade | unranked clade | unranked clade | unranked clade | unranked clade | unranked clade | class | unranked clade | unranked clade | unranked clade | infraclass | unranked clade | unranked clade | unranked clade | informal | unranked clade | unranked clade | unranked clade | unranked clade | unranked clade | unranked clade | unranked clade | unranked clade | unranked clade | genus | species												39.76	-98.5	GEONAMES:6252001			Maxwell, W. D. and J. H. Ostrom. 1995. Taphonomy and paleobiological implications of Tenontosaurus-Deinonychus associations. Journal of Vertebrate Paleontology 15(4):707-712.	http://dx.doi.org/10.1080/02724634.1995.10011256		Katja Schulz. 2015. Information about dinosaur diets manually extracted from literature.	KatjaSchulz/dinosaur-biotic-interactions	https://github.com/KatjaSchulz/dinosaur-biotic-interactions/archive/e744bef6ff47d57b86b81fe767ad983ef5b7f460.zip		2017-11-07T20:14:36.000Z
EOL:4433881	EOL:4433881 | GBIF:4966952 | OTT:4126507	Compsognathus longipes	Species	Eucarya | Opisthokonta | Metazoa | Eumetazoa | Triploblastica | Nephrozoa | Deuterostomia | Chordata | Vertebrata | Gnathostomata | Osteichthyes | Sarcopterygii | Dipnotetrapodomorpha | Tetrapodomorpha | Tetrapoda | Reptiliomorpha | Anthracosauria | Batrachosauria | Cotylosauria | Amniota | Sauropsida | Reptilia | Eureptilia | Romeriida | Diapsida | Archosauromorpha | Archosauriformes | Crurotarsi | Archosauria | Avemetatarsalia | Ornithodira | Dinosauromorpha | Dinosauriformes | Dinosauria | Saurischia | Theropoda | Neotheropoda | Averostra | Tetanurae | Avetheropoda | Coelurosauria | Compsognathidae | Compsognathus | Compsognathus longipes	EOL:5610326 | EOL:2910700 | EOL:42196910 | EOL:10380067 | EOL:42196912 | EOL:42312307 | EOL:42312308 | EOL:42312309 | EOL:2774383 | EOL:12094272 | EOL:2775704 | EOL:8909 | EOL:40072735 | EOL:10577729 | EOL:4712200 | EOL:42312317 | EOL:4358712 | EOL:42312319 | EOL:42312320 | EOL:3014446 | EOL:4657519 | EOL:42329827 | EOL:42329828 | EOL:42329829 | EOL:42329830 | EOL:3014671 | EOL:42329832 | EOL:42329833 | EOL:42329834 | EOL:42329835 | EOL:42329836 | EOL:42329837 | EOL:42329838 | EOL:3014672 | EOL:4531095 | EOL:42329841 | EOL:42329842 | EOL:42329843 | EOL:4658726 | EOL:42329845 | EOL:4434257 | EOL:4433878 | EOL:4433879 | EOL:4433881	unranked clade | unranked clade | subkingdom | unranked clade | unranked clade | unranked clade | unranked clade | unranked clade | unranked clade | unranked clade | unranked clade | superclass | subclass | subclass | unranked clade | unranked clade | unranked clade | unranked clade | unranked clade | unranked clade | unranked clade | class | unranked clade | unranked clade | unranked clade | infraclass | unranked clade | unranked clade | unranked clade | informal | unranked clade | unranked clade | unranked clade | unranked clade | unranked clade | unranked clade | unranked clade | unranked clade | unranked clade | unranked clade | suborder | family | genus | species												preysOn	http://purl.obolibrary.org/obo/RO_0002439	EOL:4518630	EOL:4518630	Bavarisaurus	Genus	Bavarisaurus	EOL:4518630	genus												49.0	11.5	GEONAMES:2951839			Ostrom, J. H. 1978. The osteology of Compsognathus longipes Wagner.  Zitteliana 4:73-118.	http://dx.doi.org/10.1111/j.1096-3642.2007.00269.x		Katja Schulz. 2015. Information about dinosaur diets manually extracted from literature.	KatjaSchulz/dinosaur-biotic-interactions	https://github.com/KatjaSchulz/dinosaur-biotic-interactions/archive/e744bef6ff47d57b86b81fe767ad983ef5b7f460.zip		2017-11-07T20:14:36.000Z
